[2025-07-22 22:27:01,818] 20 root - INFO - Data ingestion started
[2025-07-22 22:27:04,579] 74 root - INFO - Performed train test split on the dataframe
[2025-07-22 22:27:04,579] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-22 22:27:04,580] 84 root - INFO - Exporting train and test file path.
[2025-07-22 22:27:04,651] 93 root - INFO - Exported train and test file path.
[2025-07-22 22:27:04,652] 22 root - INFO - Data ingestion completed
[2025-07-22 22:27:04,659] 26 root - INFO - Data validation started
[2025-07-22 22:27:04,748] 34 root - INFO - Required number of columns:2
[2025-07-22 22:27:04,749] 35 root - INFO - Data frame has columns:31
[2025-07-22 22:27:04,749] 34 root - INFO - Required number of columns:2
[2025-07-22 22:27:04,749] 35 root - INFO - Data frame has columns:31
[2025-07-22 22:27:04,948] 28 root - INFO - Data validation completed
